username,userid,profile_location,created_at,text,retweet_count,source,coordinates
P. Talbot,24174105,"Denver, CO",2009-03-13 13:58:44,@Acyn Pretty sure Ronny uses the 1970’s World Book encyclopedias on the shelf behind him for current information co… https://t.co/EHcrDw6xPG,0,Twitter for iPad,
Andrew Fingland,4207863374,"Denver, CO",2015-11-12 02:46:15,The NAIC has developed a concern with the US Treasury Department’s methods of collecting insurance data. Learn more… https://t.co/sUozUtffKp,0,Dynamic Signal,
abby,1029634136653291521,"Denver, CO",2018-08-15 07:41:22,"@henrywismayer Climate change in the US has looked more like more frequent SEVERE weather. More tornadoes, blizzards and floods. Very scary.",0,Twitter for iPhone,
Claudia Hall Christian,7976502,Denver,2007-08-05 18:23:34,"Germany is blocking sending tanks THEY PROMISED to Ukraine, but they have time and money to harass climate change a… https://t.co/ihKlkgeXuI",1,Twitter Web App,
Gus,237572596,"Denver, CO",2011-01-13 03:59:08,"“One of the reasons why is natural gas, if extracted safely, it’s the bridge fuel that can power our economy with l… https://t.co/vPQVDJabpV",0,Twitter Web App,
Meghan Lopez,237933043,"Denver, CO",2011-01-14 00:01:38,Polis spoke at length about the state needing to protect its water rights and secure them for the future. He's now… https://t.co/Qct4jyqkWx,1,Twitter Web App,
Sam Brasch,815454817,"Denver, CO",2012-09-10 15:29:57,"While Gov. Polis gives the State of the State, local enviro groups are holding a competing event outside called Fra… https://t.co/kMpCY41T2a",4,Twitter for Android,
Yamz™️ Keller,1541273204,Denver,2013-06-23 15:53:08,"A kid's guide to climate change (plus a printable comic) 

https://t.co/vOEMdqdJTC",0,Twitter for iPhone,
Denver Post Sports,24725032,"Denver, Colorado",2009-03-16 16:59:12,"Opinion | As winter warms in the Alps, skiing may become a thing of the past https://t.co/fOQ5lyytpi",0,SocialFlow,
Greg Cocks 🇺🇦,2260711387,"Denver, CO",2013-12-24 21:06:26,"Martian Mons Mystery, (Paleo) #ClimateChange &amp; Rivers Of #Lava - What 3 New @USGS Maps Reveal About #Mars… https://t.co/AdiAcA87oB",3,Twitter Web App,
